class,filename,path,url,data_origin,retrieved_date_of_issuance,issuing_authority,retrieved_topic,PDF_or_text
Act,ACT_1.txt,\data\task1_raw_input\data_source_lawnet\v0_0\files\Act\ACT_1.txt,https://www.lawnet.gov.lk/tea-subsidy-3/,scraped,,Parliament of Sri Lanka ACT,,Text
Act,ACT_2.txt,\data\task1_raw_input\data_source_lawnet\v0_0\files\Act\ACT_2.txt,https://www.lawnet.gov.lk/tea-small-holdings-development-amendment-3/,scraped,,Parliament of Sri Lanka ACT,,Text
Act,ACT_3.txt,\data\task1_raw_input\data_source_lawnet\v0_0\files\Act\ACT_3.txt,https://www.lawnet.gov.lk/tea-small-holdings-development-amendment-4/,scraped,,Parliament of Sri Lanka ACT,,Text
Act,ACT_4.txt,\data\task1_raw_input\data_source_lawnet\v0_0\files\Act\ACT_4.txt,https://www.lawnet.gov.lk/tea-small-holdings-development-law-2/,scraped,,Parliament of Sri Lanka ACT,,Text
Act,ACT_5.txt,\data\task1_raw_input\data_source_lawnet\v0_0\files\Act\ACT_5.txt,https://www.lawnet.gov.lk/tea-research-board-amendment-3/,scraped,,Parliament of Sri Lanka ACT,,Text
Act,ACT_6.txt,\data\task1_raw_input\data_source_lawnet\v0_0\files\Act\ACT_6.txt,https://www.lawnet.gov.lk/tea-shakthi-fund-3/,scraped,,Parliament of Sri Lanka ACT,,Text
Act,ACT_7.txt,\data\task1_raw_input\data_source_lawnet\v0_0\files\Act\ACT_7.txt,https://www.lawnet.gov.lk/tea-small-holdings-development-amendment-2/,scraped,,Parliament of Sri Lanka ACT,,Text
Act,ACT_8.txt,\data\task1_raw_input\data_source_lawnet\v0_0\files\Act\ACT_8.txt,https://www.lawnet.gov.lk/tea-research-board-amendment-2/,scraped,,Parliament of Sri Lanka ACT,,Text
Act,ACT_9.txt,\data\task1_raw_input\data_source_lawnet\v0_0\files\Act\ACT_9.txt,https://www.lawnet.gov.lk/tea-research-board-3/,scraped,,Parliament of Sri Lanka ACT,,Text
Act,ACT_10.txt,\data\task1_raw_input\data_source_lawnet\v0_0\files\Act\ACT_10.txt,https://www.lawnet.gov.lk/tea-research-amendment-law-2/,scraped,,Parliament of Sri Lanka ACT,,Text
